Accident_Index,Accident_Severity,Day_of_Week,Time,Road_Type,Speed_limit,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Number_of_Vehicles,Number_of_Casualties,Urban_or_Rural_Area,Year,Month,Latitude,Longitude
ACC038261,3,4,12:52,Single carriageway,30,Fine no high winds,Dry,Daylight,4,1,1,2007,6,53.533294,-4.608888
ACC000513,3,5,09:56,Single carriageway,60,Fine no high winds,,Daylight,2,1,1,2008,5,53.423487,-1.47303
ACC016135,3,1,09:30,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2015,7,50.411212,0.194474
ACC035634,3,4,19:57,Single carriageway,40,Raining no high winds,Dry,Darkness - lights lit,2,4,2,2014,5,52.244192,-1.944412
ACC008089,2,7,18:40,Dual carriageway,30,Fine no high winds,Dry,Daylight,1,3,2,2009,7,53.224624,-2.232101
ACC036093,2,4,07:32,Single carriageway,60,Fine no high winds,Dry,Daylight,3,1,2,2012,5,53.978348,-4.590707
ACC031392,2,3,12:34,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,1,1,1,2015,9,53.160628,-4.500537
ACC033043,3,5,13:39,Roundabout,30,Fine + high winds,Dry,Daylight,2,1,1,2005,3,50.016067,1.24902
ACC034309,2,3,16:09,Single carriageway,30,Unknown,Dry,Darkness - no lighting,4,3,1,2006,7,51.601954,-3.02283
ACC012628,3,7,07:27,Roundabout,30,Other,Dry,Daylight,2,2,1,2013,5,53.061398,-3.406604
ACC001977,3,4,10:49,Roundabout,20,Fine no high winds,Dry,Darkness - no lighting,2,4,2,2014,5,52.378087,-2.533184
ACC007338,3,1,08:23,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - no lighting,1,1,2,2007,10,50.209064,-2.823463
ACC042453,2,5,17:10,Single carriageway,40,Raining no high winds,Dry,Darkness - lighting unknown,2,2,1,2013,2,51.400709,1.055185
ACC022972,3,6,16:04,Single carriageway,30,Fine no high winds,Dry,Daylight,1,1,1,2005,2,51.814495,1.753312
ACC037308,3,7,09:22,Roundabout,30,Raining no high winds,Dry,Daylight,4,1,2,2014,2,50.177278,-4.594554
ACC044972,3,4,16:43,Single carriageway,30,Fine + high winds,Dry,Daylight,1,1,1,2011,5,50.048568,1.413899
ACC005217,3,3,15:06,Single carriageway,40,Fine no high winds,Dry,Daylight,2,1,1,2014,1,55.569895,-1.284624
ACC023623,3,6,17:58,Single carriageway,30,Fine no high winds,Frost or ice,Darkness - lights unlit,2,2,1,2005,9,54.176296,-3.050824
ACC041400,3,7,23:40,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2010,5,55.737146,-4.828615
ACC020311,3,2,06:51,Single carriageway,70,Raining no high winds,Dry,Daylight,2,1,1,2006,1,50.476057,-0.530213
ACC000658,3,3,12:00,Single carriageway,30,Other,Dry,Daylight,3,3,1,2009,1,52.882836,-1.560144
ACC035038,3,2,19:53,Single carriageway,30,Fine + high winds,Dry,Daylight,2,1,1,2005,10,53.3666,0.509446
ACC044828,3,3,12:44,Slip road,40,Fine no high winds,Dry,Daylight,3,1,1,2009,1,55.261409,-0.825334
ACC015944,2,4,15:20,Single carriageway,40,Fine no high winds,Dry,Daylight,2,3,1,2008,5,52.922257,-1.582329
ACC042014,3,2,19:05,Roundabout,60,Raining no high winds,Dry,Darkness - lights lit,4,2,1,2009,12,53.082579,1.728083
ACC028058,3,4,07:09,Dual carriageway,40,Snowing no high winds,Oil or diesel,Darkness - lights unlit,2,1,1,2013,9,51.423638,1.056165
ACC021872,3,4,05:07,Single carriageway,30,Fine no high winds,Dry,Darkness - no lighting,2,1,1,2009,7,50.326979,-2.884797
ACC007028,3,5,20:52,Unknown,30,Fine no high winds,Dry,Daylight,2,1,1,2013,4,53.071738,1.696708
ACC049786,3,3,21:50,Dual carriageway,30,Fine + high winds,,Daylight,1,4,2,2013,5,53.114555,-2.802406
ACC030813,2,4,16:42,Dual carriageway,30,Fine no high winds,Dry,Darkness - lights lit,4,2,1,2010,12,54.480007,1.41024
ACC035602,3,6,16:41,Single carriageway,30,Raining + high winds,Wet or damp,Daylight,3,1,2,2008,10,54.665142,0.383333
ACC021547,3,3,07:29,Roundabout,40,Fine no high winds,Mud,Daylight,2,1,1,2008,3,50.027098,-1.986253
ACC014795,3,3,17:22,Single carriageway,60,Other,Dry,,2,1,1,2015,1,53.379285,-2.380472
ACC045054,3,1,14:56,Single carriageway,30,Fine no high winds,Dry,Daylight,1,1,1,2014,1,52.973036,-2.788847
ACC003900,3,4,22:27,Single carriageway,30,Raining no high winds,Wet or damp,Daylight,1,2,2,2014,10,54.278385,-2.737957
ACC029369,2,2,15:40,,70,Fine no high winds,Wet or damp,Daylight,2,1,1,2013,10,53.051633,-2.318191
ACC015626,3,7,18:51,Dual carriageway,70,,Wet or damp,Daylight,2,1,1,2012,10,50.918809,-0.702247
ACC046649,3,7,17:27,Dual carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,1,1,2015,10,52.069228,-3.039376
ACC010285,2,4,13:48,Unknown,30,Fine no high winds,Mud,Daylight,1,3,1,2007,9,53.978882,-4.054375
ACC025874,3,2,17:01,Roundabout,30,Snowing no high winds,Wet or damp,Daylight,2,2,1,2015,7,54.350331,-1.668978
ACC018720,3,2,12:17,Dual carriageway,70,Fine no high winds,Dry,Darkness - lights unlit,2,1,1,2012,3,53.689613,-2.728056
ACC014949,3,6,13:40,,50,Fine no high winds,,Daylight,2,2,1,2008,9,53.102607,0.048278
ACC038344,3,7,00:54,Single carriageway,30,Fine no high winds,Dry,,4,2,1,2008,5,50.437084,-4.958325
ACC031304,3,6,13:18,Single carriageway,60,Fine + high winds,Dry,Darkness - no lighting,2,1,1,2011,12,54.752552,0.112181
ACC006543,3,5,12:46,Unknown,60,Fine no high winds,Wet or damp,Darkness - lights unlit,2,1,1,2012,5,50.396677,0.141931
ACC042691,3,4,12:55,Single carriageway,40,Fine no high winds,Dry,Daylight,2,1,1,2013,10,50.414972,1.717259
ACC005877,3,4,16:06,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2014,4,50.478266,0.413952
ACC049325,3,4,21:03,Single carriageway,30,Fine no high winds,Dry,Daylight,5,1,1,2014,8,52.828693,0.919164
ACC015603,3,5,14:05,Single carriageway,30,Raining + high winds,Dry,Daylight,2,1,2,2006,10,52.695766,-1.610446
ACC023358,1,2,13:39,One way street,30,Fine no high winds,Dry,Darkness - lights lit,2,2,2,2009,1,54.390514,1.736159
ACC046343,3,4,16:19,Single carriageway,30,Fine no high winds,Dry,Daylight,3,2,2,2006,3,55.654444,-0.051454
ACC019128,3,4,03:00,One way street,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2012,7,55.556829,-1.111516
ACC034792,3,4,17:17,Dual carriageway,40,Fine + high winds,,Daylight,2,4,1,2008,11,55.673511,-2.204905
ACC036360,2,2,10:49,Single carriageway,30,Fine no high winds,Dry,Daylight,1,1,1,2015,2,51.720035,1.550811
ACC018144,3,4,09:51,Single carriageway,60,Fine no high winds,Dry,Daylight,2,1,1,2009,10,54.725432,-4.849126
ACC000317,3,2,12:39,Single carriageway,50,Fine no high winds,Dry,Darkness - lights lit,2,1,2,2006,12,52.729869,-4.585281
ACC000730,3,2,22:14,One way street,50,Fine no high winds,Wet or damp,Daylight,2,1,1,2012,11,54.746635,0.876351
ACC045883,3,5,11:26,Single carriageway,30,Fine no high winds,Dry,Daylight,4,1,1,2012,5,50.801856,-0.273628
ACC006216,3,6,21:09,Unknown,30,Other,Wet or damp,Daylight,2,1,1,2008,3,50.72605,-3.060745
ACC017299,3,6,02:38,Dual carriageway,30,Fine no high winds,Dry,Darkness - lights unlit,2,3,1,2009,11,53.696636,-4.740466
ACC001842,3,5,09:12,Single carriageway,70,Fine no high winds,Dry,Darkness - no lighting,1,1,1,2008,4,53.611735,-4.066626
ACC002387,3,7,09:34,Roundabout,60,Fine no high winds,Wet or damp,Daylight,2,1,1,2011,5,50.671929,-1.242006
ACC021346,3,5,21:05,One way street,30,Fine no high winds,Frost or ice,Daylight,2,1,2,2014,4,51.4415,-1.076371
ACC022115,3,6,15:07,Single carriageway,50,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,2,2009,10,53.836858,-1.185892
ACC043746,3,1,19:53,Dual carriageway,30,Fine + high winds,Wet or damp,Darkness - lights lit,1,2,2,2010,2,50.313963,-4.074306
ACC005467,3,5,07:57,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - no lighting,1,1,2,2010,8,54.304607,-4.8008
ACC038366,3,5,12:38,Dual carriageway,60,Other,Dry,Daylight,2,1,1,2015,6,54.448247,-1.031667
ACC046720,3,4,17:02,Single carriageway,30,Fog or mist,Dry,Daylight,1,2,1,2007,4,53.827542,-4.361769
ACC005541,2,3,16:02,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,2,2,2010,5,51.046694,-0.704343
ACC023563,3,7,20:52,Dual carriageway,30,Fine no high winds,Dry,,2,1,1,2005,9,52.304519,-0.837191
ACC023013,3,5,17:22,Single carriageway,30,Raining no high winds,Dry,Daylight,2,3,1,2007,11,54.093013,-0.748322
ACC032742,3,4,02:12,Single carriageway,60,Fine no high winds,Dry,Daylight,2,1,1,2012,5,51.054718,-1.032372
ACC014164,2,6,16:40,Single carriageway,30,Other,Dry,Daylight,4,2,1,2014,12,55.118676,-4.810769
ACC009063,3,6,10:38,Roundabout,60,Raining + high winds,Wet or damp,Daylight,4,1,1,2009,12,51.114654,-3.865955
ACC028698,3,6,18:09,Slip road,30,Fine no high winds,Dry,Daylight,2,4,1,2005,7,53.41344,-4.646722
ACC018491,3,7,15:24,Dual carriageway,60,Raining + high winds,Dry,Daylight,2,4,2,2005,1,53.403141,-3.807269
ACC014826,2,2,11:04,Single carriageway,30,,Flood over 3cm deep,Daylight,2,3,1,2010,9,52.861085,-1.787209
ACC049828,3,2,08:02,Single carriageway,30,Raining no high winds,Dry,Daylight,2,1,1,2015,10,51.934429,0.778753
ACC015680,3,3,13:47,Single carriageway,60,Fine no high winds,Wet or damp,Darkness - no lighting,1,1,1,2005,2,55.70179,-4.564082
ACC007933,3,3,12:42,Single carriageway,70,Fine no high winds,Wet or damp,Darkness - no lighting,2,1,2,2010,11,53.825577,0.003001
ACC038881,2,3,09:16,Dual carriageway,40,Raining + high winds,Dry,Darkness - lights unlit,2,1,1,2006,2,55.118526,-4.536431
ACC003003,3,5,17:50,Single carriageway,30,Fine no high winds,Dry,Daylight,2,1,1,2013,8,52.303681,1.434383
ACC031444,3,7,17:49,Dual carriageway,30,Fog or mist,Dry,Daylight,1,2,2,2006,10,54.796714,-0.819478
ACC006263,2,6,17:08,Single carriageway,50,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,1,2007,11,53.078779,-2.320639
ACC003954,2,5,11:47,Roundabout,40,Fine no high winds,Wet or damp,Darkness - lighting unknown,3,2,2,2015,12,54.35343,-1.333541
ACC045135,3,5,20:56,Single carriageway,30,Fine no high winds,Snow,Darkness - lights lit,2,1,1,2011,4,51.92744,-0.294157
ACC033479,3,6,16:59,Single carriageway,30,Fine + high winds,Oil or diesel,Daylight,3,1,1,2005,1,53.251578,-2.022341
ACC018554,3,6,19:07,Single carriageway,40,Fine + high winds,Dry,Darkness - lights lit,1,1,1,2009,2,54.315294,-1.418967
ACC024224,3,2,15:01,Dual carriageway,30,Raining no high winds,Wet or damp,Daylight,1,2,1,2008,7,52.672346,-3.280316
ACC032042,3,6,18:50,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2006,8,53.213296,-1.029216
ACC026219,3,6,10:54,Roundabout,60,Fine no high winds,Dry,Daylight,2,2,1,2015,1,54.531105,-1.310366
ACC014633,3,1,10:24,Single carriageway,30,Raining + high winds,Dry,Daylight,3,3,2,2011,1,55.148132,-3.923655
ACC017091,2,4,05:41,Slip road,30,Fine no high winds,Wet or damp,Daylight,3,1,2,2014,10,51.482124,-1.384575
ACC034427,3,5,17:45,Single carriageway,60,Fine no high winds,Dry,Darkness - no lighting,2,1,1,2015,7,50.415197,-2.806787
ACC009377,3,5,06:53,Single carriageway,60,Fog or mist,Dry,Daylight,1,1,1,2010,10,53.304618,-1.298555
ACC017781,2,2,16:47,Roundabout,50,Fine no high winds,Dry,Darkness - lights lit,1,1,2,2005,1,54.515936,-0.244305
ACC010437,3,5,13:13,One way street,60,Snowing no high winds,Dry,Daylight,4,1,1,2013,3,53.267827,0.737999
ACC007569,3,3,17:38,Single carriageway,30,Fine no high winds,Dry,Daylight,1,1,2,2015,6,52.232082,-4.059162
ACC023550,3,6,12:47,Roundabout,60,Raining + high winds,Dry,Darkness - lights lit,3,1,2,2014,4,52.126873,-0.420935
ACC001459,3,6,21:34,Single carriageway,50,Fine no high winds,Dry,Darkness - lights lit,2,1,1,2011,3,55.419496,-3.996667
ACC042297,3,3,08:56,Single carriageway,30,Fine no high winds,,Darkness - lighting unknown,2,3,1,2011,2,54.275798,-0.445503
ACC034366,3,5,20:04,Single carriageway,40,Fine no high winds,Wet or damp,Darkness - lights lit,1,3,2,2006,7,52.044127,-1.623124
ACC029309,3,2,11:56,Single carriageway,60,Raining + high winds,Dry,Darkness - lights lit,2,2,2,2014,7,53.050747,-0.476838
ACC004846,3,4,18:14,One way street,30,Fine no high winds,,Daylight,2,1,1,2015,4,50.583656,0.471258
ACC041961,2,3,14:07,Single carriageway,30,Raining no high winds,Wet or damp,Daylight,2,2,2,2014,9,55.013726,-3.872518
ACC038153,2,2,21:41,Dual carriageway,40,Fine no high winds,Dry,Daylight,2,3,2,2005,1,52.446887,-2.771807
ACC024381,3,6,17:15,Single carriageway,40,Fine no high winds,,Daylight,4,1,1,2015,3,55.775852,-2.230105
ACC038922,3,3,12:52,Single carriageway,30,Fine no high winds,Dry,Daylight,1,1,2,2010,10,55.512328,-4.906431
ACC026539,3,7,12:19,Single carriageway,30,Fog or mist,Dry,Daylight,2,1,1,2013,8,55.827681,-4.61104
ACC005937,3,2,08:13,Single carriageway,20,Fine no high winds,Dry,Daylight,2,1,2,2005,9,50.277781,0.705796
ACC007674,3,6,13:05,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2010,7,51.439461,-3.475482
ACC040437,1,1,07:10,Roundabout,30,Fine no high winds,Frost or ice,Daylight,1,3,1,2005,2,55.619193,0.606073
ACC035495,3,1,21:54,Dual carriageway,30,Other,Dry,Daylight,1,1,1,2005,10,51.520541,0.477236
ACC039592,3,5,17:57,Single carriageway,30,Fog or mist,Dry,Daylight,2,1,1,2008,8,52.434478,-0.015517
ACC014175,3,7,18:40,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - lights unlit,2,1,1,2007,4,52.366978,1.41361
ACC040382,3,3,00:25,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,3,2,1,2010,6,50.433577,-1.195539
ACC023138,3,1,01:15,Single carriageway,60,Fine no high winds,Oil or diesel,,2,1,1,2012,3,55.062537,-2.625986
ACC029629,3,3,12:38,Single carriageway,70,Raining no high winds,Dry,Daylight,5,1,1,2009,3,51.549672,-2.479005
ACC032309,3,7,12:50,Unknown,30,,Snow,Daylight,1,1,1,2010,4,55.218014,-3.15662
ACC030872,3,2,08:49,Dual carriageway,30,Fine no high winds,Dry,Daylight,1,3,1,2007,11,52.471306,-3.900833
ACC028093,3,2,11:37,Single carriageway,60,Fine no high winds,Dry,Darkness - lights lit,5,1,2,2013,6,55.37961,-2.133116
ACC032485,2,1,12:36,Single carriageway,60,Raining no high winds,Dry,Daylight,2,3,1,2005,7,50.841362,-0.262528
ACC032813,3,2,16:02,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,1,3,2,2010,2,55.570992,-2.019317
ACC025155,3,4,14:01,Slip road,30,Fine no high winds,Dry,Daylight,1,1,2,2011,7,51.274564,-2.140253
ACC010154,2,2,18:19,,30,Unknown,Dry,Darkness - lights lit,1,2,1,2007,5,50.669574,-2.16134
ACC025867,3,1,12:57,Single carriageway,50,Raining no high winds,Frost or ice,Daylight,1,2,1,2007,8,54.757228,-4.2265
ACC015444,3,6,18:45,Single carriageway,50,Fine no high winds,Dry,Daylight,1,1,1,2011,6,52.72563,-2.841705
ACC014193,3,7,20:35,Dual carriageway,60,Fine no high winds,Dry,Daylight,2,2,2,2010,11,50.05862,-2.782592
ACC013718,3,2,12:32,Single carriageway,60,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,1,2010,11,53.36894,-2.310722
ACC017349,3,3,10:45,Single carriageway,60,Raining no high winds,Wet or damp,Darkness - lights lit,5,1,2,2006,1,55.372753,0.133359
ACC006421,3,2,07:28,,60,Fine no high winds,Wet or damp,Daylight,2,4,1,2012,12,54.064847,-4.869267
ACC038691,3,3,20:30,Single carriageway,30,Raining no high winds,Dry,Daylight,1,1,1,2014,11,52.459304,-4.582507
ACC047431,3,7,19:53,Single carriageway,30,Raining no high winds,Wet or damp,Darkness - lights lit,2,1,1,2014,12,50.144203,-2.362722
ACC034115,3,2,11:32,One way street,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2012,11,54.983276,1.650949
ACC000817,3,4,15:32,One way street,50,Raining + high winds,Dry,Darkness - lights lit,4,2,2,2006,9,52.958463,-4.233583
ACC013864,3,7,18:58,Slip road,30,Fine no high winds,Dry,Daylight,2,1,1,2007,3,54.328672,-4.856515
ACC049437,3,5,21:31,Dual carriageway,40,Other,Dry,Daylight,1,2,1,2013,12,52.367288,1.921503
ACC010588,3,1,10:49,Single carriageway,30,Fine no high winds,Dry,Daylight,2,3,1,2009,6,50.762375,-3.769356
ACC049498,3,5,00:55,Single carriageway,30,Raining no high winds,Dry,Daylight,2,1,2,2008,3,54.387092,-3.218748
ACC026518,3,4,18:41,Dual carriageway,30,Fine no high winds,Dry,Daylight,2,1,1,2011,11,53.446152,-1.829878
ACC005246,3,5,14:14,Single carriageway,40,Fine no high winds,Dry,Darkness - lights lit,2,4,1,2013,6,53.641629,-2.035921
ACC038332,3,4,07:28,Single carriageway,30,Raining no high winds,Dry,Daylight,1,1,1,2010,6,55.933113,-0.77632
ACC048333,2,2,22:22,Dual carriageway,60,Snowing no high winds,Wet or damp,Daylight,1,1,2,2010,3,51.568199,-4.471738
ACC014927,3,6,13:03,Single carriageway,30,Fine no high winds,Frost or ice,Darkness - no lighting,2,1,1,2013,2,50.54174,-2.416016
ACC049066,2,7,07:04,Dual carriageway,30,Fine no high winds,Dry,Darkness - no lighting,1,3,1,2015,10,50.822235,0.711661
ACC037865,2,2,09:16,Single carriageway,30,Raining no high winds,Dry,Daylight,5,3,2,2006,11,51.127531,-4.826676
ACC023347,3,4,12:16,Dual carriageway,20,Fine no high winds,Dry,Daylight,1,4,1,2005,6,54.846431,-3.879516
ACC027037,3,2,18:18,Single carriageway,30,Fine no high winds,Dry,,1,2,2,2012,6,54.245126,-1.706972
ACC040419,3,4,19:35,One way street,40,Raining no high winds,Wet or damp,Daylight,2,1,1,2011,11,51.900057,1.31511
ACC028962,3,4,12:42,Single carriageway,60,Fine no high winds,Dry,Daylight,2,3,2,2006,7,52.371988,-3.848006
ACC023035,2,7,19:21,Roundabout,30,Unknown,Snow,Darkness - lights lit,2,3,1,2006,1,51.14787,0.370745
ACC017325,3,1,16:37,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,3,1,1,2012,1,50.615455,-1.342724
ACC044928,3,3,09:49,One way street,70,Fine + high winds,Dry,Darkness - lights unlit,1,1,1,2005,4,54.62824,1.571615
ACC018247,2,4,18:35,,30,Fine no high winds,Dry,Daylight,2,2,1,2007,4,53.770677,-3.576177
ACC021404,3,1,13:57,Roundabout,30,Fog or mist,Snow,Daylight,1,1,2,2009,10,53.405849,0.921185
ACC047288,3,1,21:42,Single carriageway,60,Raining no high winds,Snow,Daylight,2,1,2,2008,10,51.078013,-0.598263
ACC014711,3,2,10:20,Single carriageway,40,Fine no high winds,Dry,Daylight,2,1,1,2009,12,50.826878,-2.082716
ACC006368,3,7,11:48,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - lighting unknown,1,3,2,2014,7,55.853061,-1.517564
ACC048396,3,7,10:05,Single carriageway,30,Fine no high winds,Dry,Daylight,2,2,1,2010,8,54.485184,1.957494
ACC042364,3,7,13:53,Single carriageway,30,Raining no high winds,Dry,Darkness - lights lit,3,1,2,2014,7,54.603898,-3.070419
ACC040889,3,3,15:26,Single carriageway,60,Snowing no high winds,Dry,Daylight,3,1,1,2014,7,54.80165,-1.082832
ACC031707,2,3,13:43,Single carriageway,40,Fine no high winds,Wet or damp,Darkness - lights unlit,5,1,2,2015,10,55.318355,1.453444
ACC003379,2,1,10:14,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,1,1,1,2013,10,54.073022,1.216774
ACC039488,3,4,17:30,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,2,2008,6,52.473792,-3.512843
ACC013703,3,5,16:20,Single carriageway,70,Fine no high winds,Wet or damp,Darkness - lights lit,1,1,1,2005,3,55.731026,-4.466012
ACC016884,3,4,15:37,Slip road,30,Fine no high winds,Dry,Darkness - lights unlit,3,1,2,2006,2,55.76788,-0.391675
ACC009657,3,3,15:02,Single carriageway,30,Fine no high winds,Wet or damp,,2,1,1,2007,1,54.458247,-2.722864
ACC040355,3,7,17:06,Dual carriageway,60,Raining no high winds,Dry,Darkness - no lighting,2,2,1,2014,1,54.19073,-0.842523
ACC031379,3,7,15:15,Single carriageway,30,Raining no high winds,Dry,Darkness - no lighting,1,1,2,2010,2,52.734168,-0.501517
ACC028459,3,7,16:55,Single carriageway,30,Fine no high winds,,Darkness - lights lit,4,1,2,2005,5,51.292151,-0.22022
ACC028447,3,5,09:01,One way street,30,Fine no high winds,Wet or damp,Daylight,4,3,2,2010,4,50.814035,-4.35857
ACC026890,3,1,14:37,Single carriageway,40,Raining + high winds,Dry,Darkness - lights unlit,2,4,2,2009,6,50.93097,1.149125
ACC020716,3,7,16:04,Single carriageway,30,Fine no high winds,Dry,Daylight,2,1,2,2005,2,54.723092,-1.886866
ACC040605,3,2,15:17,Single carriageway,30,Fine no high winds,Dry,Daylight,2,1,2,2008,4,50.476122,-0.968686
ACC045282,3,3,12:54,Single carriageway,50,Fine no high winds,Dry,Darkness - lights lit,2,1,2,2005,3,51.091898,-4.089748
ACC032112,3,4,19:49,Dual carriageway,30,Fine no high winds,Dry,Darkness - no lighting,2,2,1,2010,3,52.535821,0.626592
ACC034349,3,6,18:34,Single carriageway,30,Raining no high winds,Dry,Daylight,1,2,1,2006,10,55.282617,-2.874875
ACC015205,3,5,12:23,One way street,30,Fine no high winds,Dry,Daylight,2,1,2,2005,6,50.162131,-0.44551
ACC006893,3,7,19:05,One way street,30,Fog or mist,Wet or damp,Daylight,2,1,1,2007,11,53.293647,-0.423642
ACC022135,3,3,10:34,Dual carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,2,2011,11,52.642922,-0.032512
ACC044142,3,1,08:47,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,1,2006,5,54.92272,-1.621373
ACC003029,3,3,16:40,Single carriageway,60,Fine no high winds,Dry,Daylight,2,1,1,2014,4,51.736734,-4.449481
ACC016298,3,7,08:17,Single carriageway,70,Fine no high winds,Dry,Daylight,4,1,1,2014,2,50.393224,-3.452652
ACC032722,3,6,10:33,Single carriageway,30,Raining no high winds,Dry,Daylight,2,1,1,2012,5,51.641973,-2.715226
ACC025135,2,4,15:47,Single carriageway,30,Fine + high winds,Dry,Daylight,2,2,2,2009,3,53.08294,-3.745576
ACC009056,3,2,02:55,One way street,30,Fine no high winds,Dry,Daylight,4,1,2,2006,2,52.714912,-4.811738
ACC034886,3,4,13:17,Single carriageway,30,Fine + high winds,Dry,Darkness - no lighting,5,1,1,2010,5,52.376428,-4.685635
ACC016229,2,7,16:07,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2015,9,50.442963,-2.996207
ACC011282,3,6,08:10,Single carriageway,60,Fine no high winds,Dry,Darkness - no lighting,2,1,2,2008,3,52.566239,-4.669969
ACC025574,3,4,20:40,Roundabout,60,Fine no high winds,Dry,Darkness - lights lit,4,1,1,2008,8,50.77183,-1.251984
ACC036502,3,3,17:10,Dual carriageway,30,Fine no high winds,Dry,Daylight,2,1,1,2015,4,54.323714,-2.437194
ACC048211,3,3,09:31,,30,Raining no high winds,Dry,Daylight,2,1,1,2008,5,51.484837,0.042904
ACC043418,3,1,17:15,Dual carriageway,30,Fog or mist,Dry,Darkness - no lighting,2,1,1,2015,7,55.737134,-0.365627
ACC046465,3,6,15:45,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,3,3,1,2015,8,55.928219,-0.859708
ACC016704,3,5,16:38,Slip road,30,Raining no high winds,Wet or damp,Daylight,2,1,1,2011,12,54.92209,1.860436
ACC032459,3,4,08:39,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,2,2010,7,51.139457,-2.36612
ACC006162,3,6,22:43,Single carriageway,60,Raining no high winds,Dry,Daylight,1,1,1,2010,2,53.682521,-3.311607
ACC042992,3,3,16:07,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,2,2008,1,51.266875,-2.464543
ACC019307,3,1,11:15,Single carriageway,30,Fine no high winds,,Darkness - no lighting,3,2,2,2014,7,55.917326,-3.299402
ACC048552,3,1,07:08,Single carriageway,30,Fog or mist,Flood over 3cm deep,Daylight,1,1,2,2009,2,53.947738,1.226041
ACC040378,3,6,16:26,Single carriageway,30,Fine no high winds,Snow,Daylight,2,1,2,2006,5,53.202348,1.401482
ACC039954,3,3,13:09,Single carriageway,30,Fine no high winds,Dry,Daylight,4,2,1,2007,5,54.194146,-2.031406
ACC004989,3,6,21:17,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,4,1,1,2015,11,52.839945,-2.102518
ACC019076,3,6,07:28,Single carriageway,20,Raining no high winds,Dry,Daylight,1,1,1,2012,5,51.430144,-4.461333
ACC020183,3,5,02:17,Single carriageway,30,Raining no high winds,Dry,Daylight,2,2,1,2013,7,50.032292,-4.518746
ACC038820,3,7,18:18,Single carriageway,70,,Dry,Darkness - lights lit,2,2,2,2010,9,54.734485,-0.234365
ACC019433,3,6,07:31,Single carriageway,40,Fine no high winds,Wet or damp,Darkness - lights unlit,3,2,1,2006,1,54.97232,-3.078911
ACC036919,1,6,00:13,Single carriageway,70,Raining no high winds,Dry,Darkness - no lighting,2,4,2,2006,9,52.375867,-2.29544
ACC019483,3,1,13:59,Dual carriageway,30,Fine no high winds,Frost or ice,Daylight,1,1,1,2013,1,50.938181,-4.130161
ACC039059,2,2,15:41,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,2,1,2,2005,8,54.076289,1.027046
ACC039447,3,6,06:49,Single carriageway,30,Raining no high winds,Wet or damp,,1,1,1,2010,4,52.807168,-4.942253
ACC022157,3,2,18:15,Dual carriageway,50,Fine no high winds,Dry,Daylight,2,3,1,2010,9,51.983129,-0.133899
ACC037812,3,7,06:06,Single carriageway,30,Fine no high winds,Dry,Daylight,1,2,2,2012,10,52.231946,0.799746
ACC012291,3,4,14:26,Single carriageway,30,Fine no high winds,Dry,Darkness - no lighting,1,1,1,2009,10,50.857892,-0.655838
ACC036129,3,2,20:35,Single carriageway,30,Fine no high winds,Dry,Daylight,2,1,2,2014,7,50.35653,-3.463218
ACC002297,3,2,20:57,Single carriageway,40,Fine no high winds,Wet or damp,Darkness - lights lit,1,2,1,2008,4,52.559341,-2.710902
ACC003832,3,3,09:03,Single carriageway,30,Fine no high winds,Snow,Daylight,2,1,2,2005,3,50.437844,-0.203236
ACC033223,3,2,17:20,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,3,3,1,2009,2,52.922626,-4.429071
